date,M421,M422,M142,M420,M428,M419,M040
23/10/1985,24.10388,24.67187,17.90273,23.40673,21.00179,22.76625,29.80516
24/10/1985,24.42159,24.36287,16.91313,24.01233,20.5827,22.50863,29.57648
25/10/1985,24.53877,24.37899,17.83508,24.34147,20.55062,22.7802,29.37159
26/10/1985,22.02488,21.9839,20.04028,21.72743,18.35792,20.25538,28.45601
27/10/1985,23.59806,23.77209,22.61411,23.10657,20.10831,22.00873,28.85994
28/10/1985,24.50212,24.50314,19.40888,24.29293,20.72346,22.86415,29.27607
29/10/1985,24.21283,24.0002,17.56222,24.1225,20.23376,22.39703,28.7664
30/10/1985,24.20515,24.2219,18.94717,23.98213,20.5823,22.58693,29.63109
31/10/1985,24.22008,24.71831,16.49555,23.79009,21.5501,23.12749,30.04428
01/11/1985,22.26495,22.77614,17.91157,21.52321,19.33894,20.89623,28.31763
02/11/1985,24.09633,24.39975,17.92346,23.54059,20.70298,22.55707,28.95496
03/11/1985,26.03465,26.11236,18.62326,25.35929,21.85415,24.10567,29.30994
04/11/1985,26.72615,27.22262,16.64436,25.81465,23.10035,25.03366,29.84081
05/11/1985,26.39077,26.3835,16.22884,25.66462,21.6977,24.28064,28.58161
06/11/1985,24.14434,24.98249,16.14911,22.53427,20.7288,22.602,28.33041
07/11/1985,23.65023,25.06837,18.13371,21.90903,21.09596,22.61576,28.16016
08/11/1985,24.37217,25.01383,16.70163,23.16289,21.05964,22.73999,28.1258
09/11/1985,22.54195,23.46981,18.85725,21.5895,20.57242,22.17936,29.82311
10/11/1985,24.52117,24.6828,19.84833,24.23142,20.47146,22.95235,29.94731
11/11/1985,23.88959,24.6826,17.7127,23.22229,20.83321,23.15349,30.1473
12/11/1985,20.0294,20.47672,17.14829,19.5809,17.53074,19.23965,27.1722
13/11/1985,20.38054,21.18816,17.3401,19.25619,18.20068,19.3507,28.57935
14/11/1985,19.13234,20.71908,16.03266,18.36771,17.77346,19.37631,27.93975
15/11/1985,18.21456,20.09733,17.08121,17.5132,17.37932,18.39302,27.94553
16/11/1985,21.08812,22.88296,18.95559,19.52185,19.53562,20.47425,28.15316
17/11/1985,20.50416,22.35751,15.99451,18.58728,18.79175,19.54573,27.65022
18/11/1985,21.28366,23.52691,16.45624,19.27053,20.16981,20.70694,29.06889
19/11/1985,22.52614,23.95072,17.19948,20.68169,20.26847,21.41313,29.34566
20/11/1985,23.16676,24.07291,18.42226,21.54984,20.04091,21.39958,28.92252
21/11/1985,21.92273,22.28475,17.68683,21.12157,19.24582,20.48226,29.92821
22/11/1985,22.76296,22.84245,17.94208,21.72751,19.11448,20.654,29.6224
23/11/1985,23.58312,23.72484,18.53972,22.86284,20.23388,21.99261,30.99677
24/11/1985,24.49009,24.96127,21.18866,23.77062,21.34293,23.07507,30.99169
25/11/1985,21.81396,22.33751,21.29266,21.01251,18.71835,20.41546,29.08706
26/11/1985,24.61746,24.7693,19.56741,23.74833,20.91227,22.68756,31.03886
